57	7422|Sikes	7422|Mr.Brownlow	right
mdp.39015038927201|Gandalf	mdp.39015038927201|Sauron	wrong
58	inu.30000054447648|Merlyn	mdp.39015038927201|Sauron	right
mdp.39015005776847|Rhett	mdp.39015005776847|Wade	right
59	osu.32435083797019|Damerel	mdp.39015005776847|Wade	right
mdp.39015005776847|Scarlett	mdp.39015005776847|AuntPittypat	right
60	osu.32435083797019|Venetia	mdp.39015005776847|AuntPittypat	wrong
nyp.33433076067192|Lassiter	nyp.33433076067192|Tull	wrong
61	uc1.$b401276|Shane	nyp.33433076067192|Tull	wrong
mdp.39015046463629|LordMormont	mdp.39015038927201|Sauron	right
62	mdp.39015038927201|Faramir	mdp.39015038927201|Sauron	wrong
mdp.39015003474866|Spade	mdp.39015001153629|LordEdgware	right
63	mdp.39015008439856|Holmes	mdp.39015001153629|LordEdgware	right
11031|Holmes	mdp.39015020633213|WillThoday	right
64	mdp.39015020633213|Wimsey	mdp.39015020633213|WillThoday	right
inu.30000007060282|Wimsey	mdp.39015061868363|MarinaGregg	right
65	mdp.39015061868363|MissMarple	mdp.39015061868363|MarinaGregg	right
mdp.39015061868363|MissMarple	uc1.32106006434416|Mr.Boone	right
66	uc1.32106006434416|Mr.Wolfe	uc1.32106006434416|Mr.Boone	right
11031|Holmes	uc1.32106006434416|Kates	right
67	uc1.32106006434416|Mr.Wolfe	uc1.32106006434416|Kates	wrong
mdp.39015001153629|LordEdgware	mdp.39015001153629|JaneWilkinson	right
68 	uc1.32106006434416|Mr.Boone	mdp.39015001153629|JaneWilkinson	right
mdp.39015008439856|McMurdo	inu.30000007060282|HarrietVane	wrong
69	inu.30000007060282|PhilipBoyes	inu.30000007060282|HarrietVane	wrong
uc1.32106006434416|Kates	uc1.32106006434416|Mr.Wolfe	wrong
70	inu.30000007060282|Mr.Urquhart	uc1.32106006434416|Mr.Wolfe	right
mdp.39015031600409|Carmen	mdp.39015061868363|MissMarple	wrong
71	mdp.39015061868363|MarinaGregg	mdp.39015061868363|MissMarple	wrong
pst.000061255661|Kezia	mdp.39015005776847|AuntPittypat	right
72	mdp.39015005776847|Scarlett	mdp.39015005776847|AuntPittypat	right
pst.000061255661|Kezia	pst.000061255661|Tiffany	wrong
73	osu.32435083797019|Venetia	pst.000061255661|Tiffany	right
8763|Mrs.Osmond	8763|MadameMerle	wrong
74	9583|Mrs.Grandcourt	8763|MadameMerle	right
8763|Mr.Osmond	9583|Deronda	right
75	9583|Grandcourt	9583|Deronda	right
4002|Arthur	9583|Deronda	wrong
76	417|AlecD'Urberville	9583|Deronda	wrong
986|Alice	10117|Mr.Rochester	right
77	10117|Helen	10117|Mr.Rochester	right
mdp.39015022095585|Tom	mdp.39015026884190|Durham	right
78	mdp.39015026884190|Jurgis	mdp.39015026884190|Durham	wrong
mdp.39015026884190|Ona	inu.30000035415862|Constance	right
79	inu.30000035415862|Selena	inu.30000035415862|Constance	wrong
11109|Trilby	2655|LordHenry	wrong
80	2655|Sibyl	2655|LordHenry	wrong
inu.30000035415862|Dr.Swain	inu.30000035415862|Lucas	wrong
81	uc1.b4384804|Dr.Neal	inu.30000035415862|Lucas	wrong
mdp.39015005776847|Wade	mdp.39015005776847|AuntPittypat	right
82	mdp.39015022095585|Ruthie	mdp.39015005776847|AuntPittypat	right
5819|Tom	13798|MissHavisham	right
83	7422|Oliver	13798|MissHavisham	right
10651|Mr.Darcy	12985|Rashleigh	wrong
84	12449|Waverley	12985|Rashleigh	wrong
14240|Silas	14796|Valancourt	right
85	14796|Montoni*	14796|Valancourt	wrong
