index	comparand	hinge	distractor	answer
1	11594|Holmes	11031|Holmes	7422|Sikes	right
1	11031|Holmes	11594|Holmes	7422|Sikes	right
2	mdp.39015008439856|Holmes	11031|Holmes	mdp.39015066054217|Carrie	right
2	11031|Holmes	mdp.39015008439856|Holmes	mdp.39015066054217|Carrie	right
3	uva.x000241745|Tarzan	uc2.ark+=13960=t10p0wz08|Tarzan	mdp.39015005776847|Rhett	right
3	uc2.ark+=13960=t10p0wz08|Tarzan	uva.x000241745|Tarzan	mdp.39015005776847|Rhett	right
4	mdp.39015008439856|Holmes	11594|Holmes	mdp.39015008439856|McMurdo	right
4	11594|Holmes	mdp.39015008439856|Holmes	mdp.39015008439856|McMurdo	right
5	uva.x000241745|Tarzan	uc2.ark+=13960=t10p0wz08|Tarzan	uva.x000241745|Werper	wrong
5	uc2.ark+=13960=t10p0wz08|Tarzan	uva.x000241745|Tarzan	uva.x000241745|Werper	right
6	inu.30000007060282|Wimsey	mdp.39015020633213|Wimsey	inu.30000007060282|HarrietVane	right
6	mdp.39015020633213|Wimsey	inu.30000007060282|Wimsey	inu.30000007060282|HarrietVane	right
7	1516|Elinor	10651|Elizabeth	5854|Richard	right
7	10651|Elizabeth	1516|Elinor	5854|Richard	right
8	3727|Adeline	14796|Emily	6154|Uriah	right
8	14796|Emily	3727|Adeline	6154|Uriah	right
9	mdp.39015061868363|MissMarple	mdp.39015001153629|Poirot	mdp.39015005776847|Scarlett	right
9	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015005776847|Scarlett	right
10	mdp.39015061868363|MissMarple	mdp.39015001153629|Poirot	mdp.39015031600409|EddieMars	right
10	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015031600409|EddieMars	right
11	1516|Elinor	10651|Elizabeth	8763|MadameMerle	right
11	10651|Elizabeth	1516|Elinor	8763|MadameMerle	right
12	1516|Willoughby	10651|Wickham	10117|Mr.Rochester	right
12	10651|Wickham	1516|Willoughby	10117|Mr.Rochester	right
13	mdp.39015061868363|HeatherBadcock	mdp.39015001153629|LordEdgware	mdp.39015022095585|Casy	right
13	mdp.39015001153629|LordEdgware	mdp.39015061868363|HeatherBadcock	mdp.39015022095585|Casy	right
14	mdp.39015061868363|MarinaGregg	mdp.39015001153629|JaneWilkinson	mdp.39015008850250|Jenny	right
14	mdp.39015001153629|JaneWilkinson	mdp.39015061868363|MarinaGregg	mdp.39015008850250|Jenny	right
15	12449|Flora	12985|Diana	14796|Emily	right
15	12985|Diana	12449|Flora	14796|Emily	right
16	mdp.39015003625863|Helen	mdp.39015003625863|Margaret	mdp.39015066054217|Carrie	right
16	mdp.39015003625863|Margaret	mdp.39015003625863|Helen	mdp.39015066054217|Carrie	right
17	mdp.39015047606440|Serena	osu.32435083797019|Venetia	inu.30000035415862|Selena	right
17	osu.32435083797019|Venetia	mdp.39015047606440|Serena	inu.30000035415862|Selena	right
18	1516|Elinor	10651|Elizabeth	1516|Willoughby	right
18	10651|Elizabeth	1516|Elinor	1516|Willoughby	right
19	3727|Adeline	14796|Emily	14796|Montoni*	right
19	14796|Emily	3727|Adeline	14796|Montoni*	right
20	mdp.39015061868363|MissMarple	mdp.39015001153629|Poirot	mdp.39015001153629|JaneWilkinson	right
20	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015001153629|JaneWilkinson	right
21	mdp.39015061868363|HeatherBadcock	mdp.39015001153629|LordEdgware	mdp.39015061868363|MarinaGregg	right
21	mdp.39015001153629|LordEdgware	mdp.39015061868363|HeatherBadcock	mdp.39015061868363|MarinaGregg	wrong
22	mdp.39015061868363|MarinaGregg	mdp.39015001153629|JaneWilkinson	mdp.39015001153629|Poirot	right
22	mdp.39015001153629|JaneWilkinson	mdp.39015061868363|MarinaGregg	mdp.39015001153629|Poirot	right
23	1516|Willoughby	10651|Wickham	10651|Mr.Darcy	right
23	10651|Wickham	1516|Willoughby	10651|Mr.Darcy	right
24	1516|Elinor	10651|Elizabeth	10651|Mrs.Bennet	right
24	10651|Elizabeth	1516|Elinor	10651|Mrs.Bennet	right
25	11034|Nicholas	2723|JohnBarton	11034|Margaret	wrong
25	2723|JohnBarton	11034|Nicholas	11034|Margaret	right
