word,slope,mean,intercept,change,approachmid,approachstd
had,0.00148226673428,-0.11531334889,-2.93162014402,0.132803062246,0.189204554505,0.723212806581
said,0.00331626718208,-0.270467853014,-6.57137549896,0.251468381557,0.474963260599,0.81590311036
was,0.00205772606192,-0.20721120839,-4.11689072604,0.182182111525,0.288522030973,1.00766931385
wrote,0.00369786952214,-0.247093050807,-7.27304514287,0.263779946058,0.494027080062,0.703504361099
life,0.00181810495926,0.0457350068069,-3.40866441578,0.159536504903,-0.0983651717263,-0.186636919842
made,0.00248101186854,-0.389994207052,-5.10391675727,0.223725554242,0.34320540779,0.911001243223
father,0.00165989117496,0.213010569289,-2.94078266314,0.155994428518,-0.239466921989,-0.530830078061
went,0.00565169089008,-0.169698195937,-10.9079108871,0.472726274453,0.612943192437,0.961179866576
took,0.00384269425705,-0.281932946857,-7.58305203525,0.36784325953,0.590551656629,1.06060938521
says,0.00682319003631,-0.486539395597,-13.4506004646,0.575672409185,0.934643735267,1.09940623753
came,0.00500549803476,-0.273373643111,-9.78381990916,0.468778788234,0.698464845949,1.12280491934
told,0.00337093530261,-0.204093543381,-6.60887061834,0.238308111262,0.4619168252,0.76607633717
found,0.00509121431246,-0.259384792279,-9.93269198594,0.439294024722,0.652045590021,1.03699305152
friends,0.0014366363935,-0.144484907132,-2.87409405479,0.0682015601971,0.229194411984,0.435009868885
wife,0.000875353417888,-2.35683024166,-4.02000173565,0.121336705775,0.0914060618415,0.101650515169
mother,-0.00056104336424,0.903981315895,1.96996370795,0.0127582443678,0.104858852599,0.184455948504
thought,0.00556184170311,-0.398020816386,-10.9655200523,0.392679421612,0.761559089572,0.91502041935
was-told,0.00586192342782,-0.227911172065,-11.3655656849,0.474094866363,0.763074520673,0.88386662452
left,0.00390626563783,-0.291249462139,-7.71315417402,0.33780109849,0.572989738834,1.03876583049
death,0.000687167427395,-0.0719151951713,-1.37753330722,0.157407303121,0.0396490812763,0.0669002321803
knew,0.00234696868196,-0.0912850226517,-4.55052551838,0.208182252141,0.207581089176,0.3755580739
mind,-0.00254479527683,0.0359951817662,4.87110620775,-0.277458226724,0.157962292012,0.286711824836
died,0.00393774178725,-0.164984373406,-7.64669376918,0.430465307525,0.493653887897,0.702190226918
received,0.00297369627556,-0.327897260492,-5.97792018406,0.206456733765,0.409595265012,0.768578899653
gave,0.00448649198549,-0.225871712682,-8.75020648512,0.356564315013,0.587809620421,1.00228320286
son,0.00177687873878,-0.0338769822031,-3.40994658588,0.202377661799,0.114757096093,0.200904186694
felt,0.00186429065482,0.105692342465,-3.4364599017,0.104233656695,-0.138176322182,-0.183588076912
did,0.00470288499136,-0.329497781844,-9.26497926542,0.389474291286,0.647695197585,0.990392688111
saw,0.00172614770123,-0.125470576658,-3.405151209,0.119762890706,0.261331055808,0.428310491116
work,0.00775439010175,-0.642350913247,-15.3756921066,0.615650097535,1.09018607535,0.979554291563
friend,0.00508056751578,-0.363901091956,-10.0169793719,0.315430028631,0.745321835497,0.949761972868
husband,-0.00304325817662,4.37606460286,10.1582551384,-0.274679665907,0.547662596752,0.659361601707
