year	womenbywomen	menbywomen	womenbymen	menbymen
1800	0	0	301	2699
1801	962	2038	200	2800
1802	0	0	293	2707
1803	1470	1530	408	2592
1804	1346	1654	269	2731
1805	807	2193	225	2775
1806	992	2008	211	2789
1807	1469	1531	406	2594
1808	594	2406	136	2864
1809	561	2439	148	2852
1810	314	2686	156	2844
1811	800	2200	347	2653
1812	0	0	133	2867
1813	977	2023	104	2896
1814	490	2510	143	2857
1815	851	2149	227	2773
1816	929	2071	140	2860
1817	298	2702	175	2825
1818	224	2776	165	2835
1819	211	2789	239	2761
1820	0	0	181	2819
1821	0	0	214	2786
1822	344	2656	303	2697
1823	604	2396	229	2771
1824	1049	1951	225	2775
1825	236	2764	257	2743
1826	686	2314	226	2774
1827	2313	687	280	2720
1828	0	0	175	2825
1829	418	2582	205	2795
1830	456	2544	216	2784
1831	618	2382	271	2729
1832	519	2481	186	2814
1833	346	2654	513	2487
1834	0	3000	243	2757
1835	683	2317	253	2747
1836	605	2395	333	2667
1837	503	2497	217	2783
1838	744	2256	224	2776
1839	852	2148	214	2786
1840	771	2229	149	2851
1841	818	2182	244	2756
1842	1132	1868	178	2822
1843	259	2741	261	2739
1844	955	2045	243	2757
1845	826	2174	263	2737
1846	464	2536	207	2793
1847	472	2528	189	2811
1848	1274	1726	108	2892
1849	819	2181	187	2813
1850	1028	1972	212	2788
1851	607	2393	239	2761
1852	374	2626	303	2697
1853	771	2229	223	2777
1854	742	2258	307	2693
1855	1612	1388	328	2672
1856	922	2078	148	2852
1857	1057	1943	127	2873
1858	1362	1638	197	2803
1859	1079	1921	327	2673
1860	564	2436	213	2787
1861	791	2209	195	2805
1862	770	2230	246	2754
1863	880	2120	182	2818
1864	812	2188	188	2812
1865	525	2475	188	2812
1866	740	2260	213	2787
1867	1086	1914	253	2747
1868	701	2299	218	2782
1869	449	2551	385	2615
1870	1069	1931	165	2835
1871	993	2007	246	2754
1872	549	2451	277	2723
1873	692	2308	409	2591
1874	1319	1681	224	2776
1875	897	2103	267	2733
1876	1002	1998	283	2717
1877	755	2245	208	2792
1878	1251	1749	207	2793
1879	624	2376	289	2711
1880	825	2175	296	2704
1881	992	2008	244	2756
1882	964	2036	276	2724
1883	1181	1819	253	2747
1884	449	2551	233	2767
1885	542	2458	200	2800
1886	1082	1918	296	2704
1887	1022	1978	256	2744
1888	674	2326	313	2687
1889	975	2025	278	2722
1890	752	2248	277	2723
1891	713	2287	224	2776
1892	754	2246	263	2737
1893	1310	1690	331	2669
1894	731	2269	227	2773
1895	941	2059	290	2710
1896	569	2431	326	2674
1897	1683	1317	215	2785
1898	962	2038	258	2742
1899	717	2283	252	2748
1900	627	2373	257	2743
1901	967	2033	328	2672
1902	690	2310	326	2674
1903	638	2362	230	2770
1904	860	2140	295	2705
1905	745	2255	297	2703
1906	931	2069	226	2774
1907	571	2429	305	2695
1908	590	2410	280	2720
1909	792	2208	208	2792
1910	683	2317	301	2699
1911	618	2382	238	2762
1912	666	2334	232	2768
1913	634	2366	269	2731
1914	639	2361	172	2828
1915	621	2379	165	2835
1916	752	2248	129	2871
1917	454	2546	225	2775
1918	721	2279	216	2784
1919	864	2136	201	2799
1920	719	2281	200	2800
1921	609	2391	222	2778
1922	670	2330	221	2779
1923	596	2404	296	2704
1924	662	2338	465	2535
1925	720	2280	306	2694
1926	652	2348	343	2657
1927	690	2310	296	2704
1928	646	2354	325	2675
1929	801	2199	346	2654
1930	555	2445	331	2669
1931	525	2475	245	2755
1932	802	2198	319	2681
1933	864	2136	297	2703
1934	666	2334	397	2603
1935	895	2105	288	2712
1936	591	2409	309	2691
1937	688	2312	393	2607
1938	640	2360	309	2691
1939	813	2187	338	2662
1940	833	2167	393	2607
1941	586	2414	211	2789
1942	735	2265	270	2730
1943	786	2214	324	2676
1944	889	2111	348	2652
1945	766	2234	474	2526
1946	737	2263	405	2595
1947	624	2376	295	2705
1948	525	2475	268	2732
1949	834	2166	265	2735
1950	612	2388	302	2698
1951	686	2314	319	2681
1952	787	2213	284	2716
1953	852	2148	570	2430
1954	841	2159	305	2695
1955	828	2172	272	2728
1956	869	2131	294	2706
1957	611	2389	280	2720
1958	755	2245	263	2737
1959	763	2237	168	2832
1960	528	2472	314	2686
1961	611	2389	266	2734
1962	729	2271	311	2689
1963	808	2192	347	2653
1964	913	2087	277	2723
1965	699	2301	479	2521
1966	715	2285	305	2695
1967	827	2173	367	2633
1968	740	2260	328	2672
1969	676	2324	375	2625
1970	588	2412	391	2609
1971	654	2346	417	2583
1972	861	2139	415	2585
1973	639	2361	337	2663
1974	911	2089	445	2555
1975	820	2180	390	2610
1976	900	2100	352	2648
1977	639	2361	396	2604
1978	727	2273	263	2737
1979	741	2259	382	2618
1980	873	2127	440	2560
1981	756	2244	255	2745
1982	499	2501	343	2657
1983	824	2176	349	2651
1984	880	2120	341	2659
1985	651	2349	459	2541
1986	750	2250	499	2501
1987	657	2343	307	2693
1988	773	2227	327	2673
1989	727	2273	349	2651
1990	913	2087	302	2698
1991	900	2100	421	2579
1992	909	2091	474	2526
1993	747	2253	319	2681
1994	906	2094	512	2488
1995	995	2005	374	2626
1996	804	2196	373	2627
1997	865	2135	367	2633
1998	947	2053	348	2652
1999	786	2214	383	2617
2000	729	2271	404	2596
