,year,count,authgender,chargender,auth_char_gender
81,1915,190,u,f,u:f
82,1914,7853,m,m,m:m
83,1914,2152,u,m,u:m
84,1914,1554,f,m,f:m
85,1914,670,m,u,m:u
86,1914,506,m,f,m:f
87,1914,388,f,f,f:f
88,1914,242,f,u,f:u
89,1914,167,u,u,u:u
90,1914,165,u,f,u:f
91,1913,8412,m,m,m:m
92,1913,1738,u,m,u:m
93,1913,1151,f,m,f:m
94,1913,877,m,f,m:f
95,1913,727,m,u,m:u
96,1913,321,f,f,f:f
97,1913,309,u,u,u:u
98,1913,143,u,f,u:f
99,1913,137,f,u,f:u
100,1912,9790,m,m,m:m
101,1912,2285,u,m,u:m
102,1912,1678,f,m,f:m
103,1912,864,m,f,m:f
104,1912,753,m,u,m:u
105,1912,448,f,f,f:f
106,1912,291,u,u,u:u
107,1912,227,f,u,f:u
108,1912,218,u,f,u:f
109,1911,7864,m,m,m:m
110,1911,2238,u,m,u:m
111,1911,1290,f,m,f:m
112,1911,1103,m,u,m:u
113,1911,739,m,f,m:f
114,1911,362,u,u,u:u
115,1911,320,f,f,f:f
116,1911,244,u,f,u:f
117,1911,170,f,u,f:u
118,1910,6962,m,m,m:m
119,1910,1576,u,m,u:m
120,1910,1294,f,m,f:m
121,1910,792,m,f,m:f
122,1910,690,m,u,m:u
123,1910,392,f,f,f:f
124,1910,284,u,u,u:u
125,1910,234,u,f,u:f
126,1910,223,f,u,f:u
127,1909,7509,m,m,m:m
128,1909,5964,u,m,u:m
129,1909,1778,f,m,f:m
130,1909,701,m,u,m:u
131,1909,620,f,f,f:f
132,1909,609,m,f,m:f
133,1909,455,u,f,u:f
134,1909,426,u,u,u:u
135,1909,233,f,u,f:u
136,1908,5369,m,m,m:m
137,1908,3214,u,m,u:m
138,1908,1917,f,m,f:m
139,1908,757,m,u,m:u
140,1908,619,m,f,m:f
141,1908,471,f,f,f:f
142,1908,266,u,u,u:u
143,1908,233,u,f,u:f
144,1908,168,f,u,f:u
145,1907,8856,m,m,m:m
146,1907,4988,u,m,u:m
147,1907,1413,f,m,f:m
148,1907,908,m,f,m:f
149,1907,880,m,u,m:u
150,1907,436,u,u,u:u
151,1907,348,f,f,f:f
152,1907,334,u,f,u:f
153,1907,248,f,u,f:u
154,1906,6162,m,m,m:m
155,1906,1410,u,m,u:m
156,1906,1049,f,m,f:m
157,1906,653,m,u,m:u
158,1906,510,m,f,m:f
159,1906,469,f,f,f:f
160,1906,151,u,u,u:u
161,1906,143,u,f,u:f
162,1906,119,f,u,f:u
163,1905,6575,m,m,m:m
164,1905,2312,u,m,u:m
165,1905,1519,f,m,f:m
166,1905,741,m,u,m:u
167,1905,721,m,f,m:f
168,1905,508,f,f,f:f
169,1905,269,u,u,u:u
170,1905,236,f,u,f:u
171,1905,227,u,f,u:f
172,1904,5442,m,m,m:m
173,1904,3835,u,m,u:m
174,1904,1391,f,m,f:m
175,1904,925,m,u,m:u
176,1904,575,f,f,f:f
177,1904,564,m,f,m:f
178,1904,506,u,f,u:f
179,1904,478,u,u,u:u
180,1904,204,f,u,f:u
181,1903,4810,m,m,m:m
182,1903,4236,u,m,u:m
183,1903,1250,f,m,f:m
184,1903,518,m,u,m:u
185,1903,434,m,f,m:f
186,1903,373,u,f,u:f
187,1903,369,f,f,f:f
188,1903,280,u,u,u:u
189,1903,199,f,u,f:u
190,1902,4900,u,m,u:m
191,1902,4021,m,m,m:m
192,1902,982,f,m,f:m
193,1902,654,m,u,m:u
194,1902,499,m,f,m:f
195,1902,345,u,f,u:f
196,1902,319,u,u,u:u
197,1902,311,f,f,f:f
198,1902,142,f,u,f:u
199,1901,6869,m,m,m:m
200,1901,3863,u,m,u:m
201,1901,947,f,m,f:m
202,1901,890,m,u,m:u
203,1901,773,m,f,m:f
204,1901,544,u,u,u:u
205,1901,461,f,f,f:f
206,1901,428,u,f,u:f
207,1901,132,f,u,f:u
208,1900,6800,u,m,u:m
209,1900,5386,m,m,m:m
210,1900,1264,f,m,f:m
211,1900,662,u,f,u:f
212,1900,636,m,u,m:u
213,1900,578,u,u,u:u
214,1900,514,m,f,m:f
215,1900,314,f,f,f:f
216,1900,131,f,u,f:u
217,1899,3512,m,m,m:m
218,1899,3183,u,m,u:m
219,1899,1103,f,m,f:m
220,1899,489,u,f,u:f
221,1899,454,m,u,m:u
222,1899,395,u,u,u:u
223,1899,358,m,f,m:f
224,1899,331,f,f,f:f
225,1899,161,f,u,f:u
226,1898,3911,m,m,m:m
227,1898,2635,u,m,u:m
228,1898,937,f,m,f:m
229,1898,474,m,u,m:u
230,1898,470,f,f,f:f
231,1898,342,m,f,m:f
232,1898,296,u,u,u:u
233,1898,246,f,u,f:u
234,1898,150,u,f,u:f
235,1897,4687,u,m,u:m
236,1897,3126,m,m,m:m
237,1897,1156,f,f,f:f
238,1897,926,f,m,f:m
239,1897,479,u,u,u:u
240,1897,412,u,f,u:f
241,1897,356,m,u,m:u
242,1897,275,m,f,m:f
243,1897,143,f,u,f:u
244,1896,4690,u,m,u:m
245,1896,2273,m,m,m:m
246,1896,1345,f,m,f:m
247,1896,370,u,u,u:u
248,1896,342,u,f,u:f
249,1896,310,f,f,f:f
250,1896,305,m,u,m:u
251,1896,296,m,f,m:f
252,1896,157,f,u,f:u
253,1895,4696,u,m,u:m
254,1895,2328,m,m,m:m
255,1895,1021,f,m,f:m
256,1895,477,u,u,u:u
257,1895,464,f,f,f:f
258,1895,387,u,f,u:f
259,1895,311,m,u,m:u
260,1895,232,m,f,m:f
261,1895,172,f,u,f:u
262,1894,3669,u,m,u:m
263,1894,2783,m,m,m:m
264,1894,867,f,m,f:m
265,1894,328,m,u,m:u
266,1894,313,u,u,u:u
267,1894,288,f,f,f:f
268,1894,269,u,f,u:f
269,1894,214,m,f,m:f
270,1894,153,f,u,f:u
271,1893,7385,u,m,u:m
272,1893,2445,m,m,m:m
273,1893,1120,f,m,f:m
274,1893,871,f,f,f:f
