,year,count,authgender,chargender,auth_char_gender
910,1822,124,f,m,f:m
911,1822,36,u,f,u:f
912,1822,16,f,f,f:f
913,1822,6,f,u,f:u
914,1821,1296,m,m,m:m
915,1821,851,u,m,u:m
916,1821,128,m,u,m:u
917,1821,99,u,u,u:u
918,1821,97,m,f,m:f
919,1821,67,u,f,u:f
920,1820,1099,m,m,m:m
921,1820,625,u,m,u:m
922,1820,117,m,u,m:u
923,1820,69,m,f,m:f
924,1820,53,u,f,u:f
925,1820,51,u,u,u:u
926,1819,1127,f,m,f:m
927,1819,1063,m,m,m:m
928,1819,518,u,m,u:m
929,1819,153,u,u,u:u
930,1819,137,m,u,m:u
931,1819,95,m,f,m:f
932,1819,93,f,u,f:u
933,1819,86,f,f,f:f
934,1819,62,u,f,u:f
935,1818,2653,m,m,m:m
936,1818,293,m,u,m:u
937,1818,275,u,m,u:m
938,1818,154,m,f,m:f
939,1818,129,f,m,f:m
940,1818,38,u,f,u:f
941,1818,32,u,u,u:u
942,1818,11,f,f,f:f
943,1818,5,f,u,f:u
944,1817,2926,m,m,m:m
945,1817,556,u,m,u:m
946,1817,369,m,u,m:u
947,1817,191,m,f,m:f
948,1817,100,f,m,f:m
949,1817,69,u,u,u:u
950,1817,38,u,f,u:f
951,1817,21,f,u,f:u
952,1817,11,f,f,f:f
953,1816,1699,m,m,m:m
954,1816,811,u,m,u:m
955,1816,110,m,u,m:u
956,1816,90,m,f,m:f
957,1816,88,u,u,u:u
958,1816,47,u,f,u:f
959,1816,38,f,m,f:m
960,1816,17,f,f,f:f
961,1816,6,f,u,f:u
962,1815,1024,m,m,m:m
963,1815,205,u,m,u:m
964,1815,142,m,u,m:u
965,1815,85,m,f,m:f
966,1815,36,u,u,u:u
967,1815,25,u,f,u:f
968,1815,13,f,m,f:m
969,1815,5,f,f,f:f
970,1815,2,f,u,f:u
971,1814,1471,m,m,m:m
972,1814,324,u,m,u:m
973,1814,207,u,u,u:u
974,1814,181,m,u,m:u
975,1814,73,m,f,m:f
976,1814,25,u,f,u:f
977,1814,17,f,m,f:m
978,1814,3,f,f,f:f
979,1814,2,f,u,f:u
980,1813,1381,m,m,m:m
981,1813,143,m,u,m:u
982,1813,79,u,m,u:m
983,1813,55,m,f,m:f
984,1813,20,u,f,u:f
985,1813,13,u,u,u:u
986,1813,10,f,m,f:m
987,1813,5,f,f,f:f
988,1813,4,f,u,f:u
989,1812,4429,m,m,m:m
990,1812,3973,u,m,u:m
991,1812,575,m,u,m:u
992,1812,543,u,u,u:u
993,1812,204,m,f,m:f
994,1812,193,u,f,u:f
995,1811,1056,m,m,m:m
996,1811,728,u,m,u:m
997,1811,410,f,m,f:m
998,1811,222,u,u,u:u
999,1811,142,f,f,f:f
1000,1811,133,m,f,m:f
1001,1811,88,m,u,m:u
1002,1811,35,u,f,u:f
1003,1811,32,f,u,f:u
1004,1810,4031,m,m,m:m
1005,1810,555,u,m,u:m
1006,1810,270,m,u,m:u
1007,1810,218,m,f,m:f
1008,1810,159,f,m,f:m
1009,1810,85,u,u,u:u
1010,1810,59,u,f,u:f
1011,1810,17,f,f,f:f
1012,1810,6,f,u,f:u
1013,1809,1846,m,m,m:m
1014,1809,462,u,m,u:m
1015,1809,225,m,u,m:u
1016,1809,95,m,f,m:f
1017,1809,92,u,f,u:f
1018,1809,82,u,u,u:u
1019,1809,32,f,m,f:m
1020,1809,7,f,f,f:f
1021,1809,4,f,u,f:u
1022,1808,1935,m,m,m:m
1023,1808,275,u,m,u:m
1024,1808,182,m,u,m:u
1025,1808,97,m,f,m:f
1026,1808,87,u,u,u:u
1027,1808,33,u,f,u:f
1028,1808,25,f,m,f:m
1029,1808,6,f,f,f:f
1030,1808,4,f,u,f:u
1031,1807,1134,m,m,m:m
1032,1807,937,u,m,u:m
1033,1807,178,m,f,m:f
1034,1807,163,m,u,m:u
1035,1807,123,f,f,f:f
1036,1807,119,f,m,f:m
1037,1807,73,u,u,u:u
1038,1807,66,u,f,u:f
1039,1807,32,f,u,f:u
1040,1806,1791,m,m,m:m
1041,1806,538,u,m,u:m
1042,1806,199,m,u,m:u
1043,1806,138,m,f,m:f
1044,1806,91,u,u,u:u
1045,1806,61,u,f,u:f
1046,1806,34,f,m,f:m
1047,1806,17,f,f,f:f
1048,1806,4,f,u,f:u
1049,1805,721,m,m,m:m
1050,1805,434,u,m,u:m
1051,1805,107,m,u,m:u
1052,1805,66,m,f,m:f
1053,1805,44,u,u,u:u
1054,1805,37,f,m,f:m
1055,1805,37,u,f,u:f
1056,1805,13,f,f,f:f
1057,1805,2,f,u,f:u
1058,1804,1090,m,m,m:m
1059,1804,629,u,m,u:m
1060,1804,308,u,u,u:u
1061,1804,147,m,u,m:u
1062,1804,121,m,f,m:f
1063,1804,54,f,m,f:m
1064,1804,40,f,f,f:f
1065,1804,29,u,f,u:f
1066,1804,24,f,u,f:u
1067,1803,979,m,m,m:m
1068,1803,228,u,m,u:m
1069,1803,213,f,m,f:m
1070,1803,208,f,f,f:f
1071,1803,192,m,u,m:u
1072,1803,152,m,f,m:f
1073,1803,76,u,u,u:u
1074,1803,40,f,u,f:u
1075,1803,28,u,f,u:f
1076,1802,883,m,m,m:m
1077,1802,309,u,m,u:m
1078,1802,106,m,u,m:u
1079,1802,94,m,f,m:f
1080,1802,72,u,f,u:f
1081,1802,48,u,u,u:u
1082,1801,2361,m,m,m:m
1083,1801,440,u,m,u:m
1084,1801,235,m,u,m:u
1085,1801,160,m,f,m:f
1086,1801,140,u,u,u:u
1087,1801,54,u,f,u:f
1088,1801,22,f,m,f:m
1089,1801,10,f,f,f:f
1090,1801,3,f,u,f:u
1091,1800,1055,m,m,m:m
1092,1800,404,u,m,u:m
1093,1800,123,m,u,m:u
1094,1800,119,m,f,m:f
1095,1800,92,u,u,u:u
1096,1800,59,u,f,u:f
1097,1799,1227,m,m,m:m
1098,1799,193,m,u,m:u
1099,1799,162,u,m,u:m
1100,1799,62,m,f,m:f
1101,1799,16,f,m,f:m
1102,1799,14,u,f,u:f
1103,1799,9,u,u,u:u
1104,1799,2,f,u,f:u
1105,1799,1,f,f,f:f
1106,1798,1531,u,m,u:m
1107,1798,404,m,m,m:m
1108,1798,204,u,u,u:u
1109,1798,81,u,f,u:f
1110,1798,71,m,u,m:u
1111,1798,30,m,f,m:f
1112,1797,216,m,m,m:m
1113,1797,81,u,m,u:m
1114,1797,36,m,u,m:u
1115,1797,33,m,f,m:f
1116,1797,25,u,u,u:u
1117,1797,5,u,f,u:f
1118,1796,42,m,m,m:m
1119,1796,32,u,m,u:m
1120,1796,22,m,u,m:u
1121,1796,21,u,f,u:f
1122,1796,3,m,f,m:f
1123,1796,2,u,u,u:u
1124,1795,189,m,m,m:m
1125,1795,84,u,m,u:m
1126,1795,33,m,u,m:u
1127,1795,22,m,f,m:f
1128,1795,13,u,f,u:f
1129,1795,6,u,u,u:u
1130,1794,413,m,m,m:m
1131,1794,139,u,m,u:m
1132,1794,17,u,u,u:u
1133,1794,16,m,u,m:u
1134,1794,9,m,f,m:f
1135,1794,6,u,f,u:f
1136,1794,3,f,m,f:m
1137,1794,1,f,f,f:f
1138,1793,190,u,m,u:m
1139,1793,31,m,m,m:m
1140,1793,10,u,f,u:f
1141,1793,8,u,u,u:u
1142,1793,8,m,u,m:u
1143,1793,2,m,f,m:f
1144,1792,6,m,m,m:m
1145,1792,2,m,u,m:u
1146,1791,46,u,m,u:m
1147,1791,2,u,u,u:u
1148,1791,2,u,f,u:f
1149,1790,80,m,m,m:m
1150,1790,44,u,m,u:m
1151,1790,41,u,u,u:u
1152,1790,15,m,u,m:u
1153,1790,7,m,f,m:f
1154,1790,2,u,f,u:f
1155,1789,120,m,m,m:m
1156,1789,22,m,u,m:u
1157,1789,11,m,f,m:f
1158,1788,28,m,m,m:m
1159,1788,12,u,m,u:m
1160,1788,8,m,f,m:f
1161,1788,1,u,f,u:f
1162,1786,40,m,m,m:m
1163,1786,35,u,m,u:m
1164,1786,8,u,u,u:u
1165,1786,3,m,u,m:u
1166,1786,1,m,f,m:f
1167,1785,149,m,m,m:m
1168,1785,20,u,m,u:m
1169,1785,13,m,u,m:u
1170,1785,9,m,f,m:f
1171,1785,1,u,u,u:u
1172,1784,835,u,m,u:m
1173,1784,100,u,u,u:u
1174,1784,68,m,m,m:m
1175,1784,48,u,f,u:f
1176,1784,9,m,f,m:f
1177,1784,5,m,u,m:u
1178,1783,107,m,m,m:m
1179,1783,46,m,f,m:f
1180,1783,10,m,u,m:u
1181,1782,23,m,m,m:m
1182,1782,4,m,u,m:u
1183,1782,2,m,f,m:f
1184,1781,71,m,m,m:m
1185,1781,7,m,u,m:u
1186,1781,6,m,f,m:f
1187,1780,70,m,m,m:m
1188,1780,13,u,m,u:m
1189,1780,11,m,u,m:u
1190,1780,8,m,f,m:f
1191,1780,4,u,f,u:f
1192,1780,2,u,u,u:u
1193,1779,257,u,m,u:m
1194,1779,209,m,m,m:m
1195,1779,35,m,u,m:u
1196,1779,29,u,u,u:u
1197,1779,28,m,f,m:f
1198,1779,17,u,f,u:f
1199,1778,31,u,m,u:m
1200,1778,7,u,f,u:f
1201,1778,4,u,u,u:u
1202,1777,32,m,m,m:m
1203,1777,2,m,f,m:f
1204,1776,159,u,m,u:m
1205,1776,6,u,f,u:f
1206,1776,5,u,u,u:u
1207,1775,157,m,m,m:m
1208,1775,28,f,m,f:m
1209,1775,8,f,f,f:f
1210,1775,6,m,u,m:u
1211,1774,3,m,m,m:m
1212,1774,2,m,f,m:f
1213,1773,40,u,m,u:m
1214,1773,13,u,u,u:u
1215,1773,2,u,f,u:f
1216,1772,50,u,m,u:m
1217,1772,4,u,u,u:u
1218,1772,1,u,f,u:f
1219,1771,15,u,m,u:m
1220,1771,1,u,u,u:u
1221,1770,82,m,m,m:m
1222,1770,28,u,m,u:m
1223,1770,11,m,u,m:u
1224,1770,2,u,u,u:u
1225,1770,2,u,f,u:f
1226,1770,1,m,f,m:f
1227,1769,132,m,m,m:m
1228,1769,16,m,u,m:u
1229,1769,4,m,f,m:f
1230,1768,67,m,m,m:m
1231,1768,13,m,u,m:u
1232,1768,5,u,m,u:m
1233,1768,4,m,f,m:f
1234,1768,1,u,f,u:f
1235,1768,1,u,u,u:u
1236,1767,115,u,m,u:m
1237,1767,75,u,u,u:u
1238,1767,9,u,f,u:f
1239,1766,158,m,m,m:m
1240,1766,20,m,f,m:f
1241,1766,17,m,u,m:u
1242,1765,88,u,m,u:m
1243,1765,14,m,m,m:m
1244,1765,4,u,u,u:u
1245,1765,3,u,f,u:f
1246,1765,2,f,m,f:m
1247,1765,2,m,u,m:u
1248,1765,1,f,f,f:f
1249,1763,57,u,m,u:m
1250,1763,10,u,u,u:u
1251,1763,10,u,f,u:f
1252,1762,33,u,m,u:m
1253,1762,1,u,u,u:u
1254,1762,1,u,f,u:f
1255,1761,324,u,m,u:m
1256,1761,47,u,u,u:u
1257,1761,15,u,f,u:f
1258,1760,488,m,m,m:m
1259,1760,59,u,m,u:m
1260,1760,39,m,f,m:f
1261,1760,34,m,u,m:u
1262,1760,6,u,f,u:f
1263,1760,5,u,u,u:u
1264,1759,99,u,m,u:m
1265,1759,34,m,m,m:m
1266,1759,31,u,u,u:u
1267,1759,11,u,f,u:f
1268,1759,7,m,u,m:u
1269,1759,3,m,f,m:f
1270,1758,33,m,m,m:m
1271,1758,12,u,m,u:m
1272,1758,2,m,f,m:f
1273,1758,2,u,u,u:u
1274,1755,27,m,m,m:m
1275,1755,18,u,m,u:m
1276,1755,18,u,u,u:u
1277,1755,13,u,f,u:f
1278,1755,6,m,f,m:f
1279,1755,4,m,u,m:u
1280,1753,67,u,m,u:m
1281,1753,35,m,m,m:m
1282,1753,5,u,u,u:u
1283,1753,4,u,f,u:f
1284,1753,2,m,f,m:f
1285,1753,1,m,u,m:u
1286,1752,42,u,m,u:m
1287,1752,14,m,m,m:m
1288,1752,5,u,u,u:u
1289,1752,1,u,f,u:f
1290,1752,1,m,u,m:u
1291,1752,1,m,f,m:f
1292,1750,162,m,m,m:m
1293,1750,33,m,f,m:f
1294,1750,28,m,u,m:u
1295,1747,138,m,m,m:m
1296,1747,83,m,u,m:u
1297,1747,8,u,u,u:u
1298,1747,3,u,f,u:f
1299,1747,3,m,f,m:f
1300,1747,2,u,m,u:m
1301,1744,15,m,m,m:m
1302,1744,4,m,u,m:u
1303,1744,2,m,f,m:f
1304,1742,97,m,m,m:m
1305,1742,33,u,m,u:m
1306,1742,23,m,u,m:u
1307,1742,23,u,u,u:u
1308,1742,12,m,f,m:f
1309,1742,1,u,f,u:f
1310,1741,67,u,m,u:m
1311,1741,42,u,u,u:u
1312,1741,1,u,f,u:f
1313,1740,8,m,m,m:m
1314,1740,1,m,f,m:f
1315,1739,3,u,m,u:m
1316,1739,1,u,u,u:u
1317,1737,29,m,m,m:m
1318,1737,6,u,m,u:m
1319,1737,5,m,u,m:u
1320,1737,3,u,f,u:f
1321,1737,2,m,f,m:f
1322,1734,10,u,m,u:m
1323,1734,4,u,u,u:u
1324,1734,1,u,f,u:f
1325,1732,10,u,m,u:m
1326,1732,3,u,u,u:u
1327,1726,2,m,m,m:m
1328,1720,11,m,m,m:m
1329,1720,3,m,u,m:u
1330,1720,2,m,f,m:f
1331,1719,4,u,m,u:m
1332,1717,26,u,m,u:m
1333,1717,11,u,u,u:u
1334,1715,1,u,m,u:m
1335,1714,29,m,m,m:m
1336,1714,5,m,u,m:u
1337,1706,10,u,m,u:m
1338,1706,3,u,f,u:f
1339,1705,18,m,m,m:m
1340,1705,2,m,u,m:u
1341,1701,15,f,m,f:m
1342,1701,6,f,u,f:u
1343,0.0u,1,u,m,u:m
1344,0.0m,20,m,m,m:m
1345,0.0m,2,m,u,m:u
1346,0.0m,2,m,f,m:f
