mdp.39015047657757|Arthur	bio1901m
14362|Mr.DeCrecy	fic1866m
wu.89095854436|Baggs	bio1847m
mdp.39015025315964|Anti-SlaverySociety	bio1950u
uc1.$b68184|WilliamStrahan	bio1926m
hvd.hwad75|LordKeith	bio1834m
uc2.ark+=13960=t3319w37s|Cecile	fic1910f
14670|Horace	fic1826m
pst.000022022387|Mr.Lincoln	bio1991m
952|BoneSmith	fic1891m
mdp.39015039920445|Mr.Nicholas	fic1998m
14641|HollyMount	fic1824f
wu.89099964215|Caroline	bio1877f
uc1.b4324994|Wagner	bio1909m
mdp.39015003929885|MissGrace	fic1939f
wu.89069611242|CharlesHoare	bio1912m
4822|Robertson	fic1829m
nyp.33433082411962|Duer	bio1889u
1477|Jim	fic1819m
wu.89060956299|LordPercy	bio1811m
mdp.39015004103571|Maxil	fic1976m
13716|Tomlinson	fic1840m
mdp.39015002362138|Dinwiddie	bio1952m
wu.89091100602|Fantic	fic1914u
uc2.ark+=13960=t9r20sf04|Scot	bio1856m
nyp.33433075754774|Mr.Coleman	fic1901m
nyp.33433082191754|Cassander	bio1831u
nyp.33433081598090|MrsHoward	bio1873f
mdp.39015073727615|Elie	bio1826m
uc1.$b799187|SarahBlevins	fic1941f
uc2.ark+=13960=t6b281g2x|Braccio	bio1851m
mdp.39015011257451|Philip	bio1841m
mdp.39015005743250|Philemon	fic1943m
14347|Mr.Crosby	fic1816m
uc1.b3317594|Mary	bio1839f
nyp.33433076067192|Jane	fic1912f
uc1.32106011882740|PeterStephanJungk	bio1994m
nyp.33433082362181|AbrahamLincoln	bio1885m
mdp.39015003899278|Mr.Hixon	fic1964m
7151|Mr.Henley	fic1821m
mdp.39015011596718|Joseph	fic1923m
nyp.33433076082068|Margery	fic1920f
nnc1.50184839|Leland	bio1849m
11597|Fitzjoy	fic1898u
uc1.$b248854|McSorley	fic1930m
3692|Floromond	fic1818u
243|GeorgeTemplemore	fic1856m
loc.ark+=13960=t50g4960x|LadyJaneGrey	bio1860f
6824|MissMaud	fic1844f
mdp.39015011819946|Mr.Cruse	fic1986m
uc1.b41351|Fitzgerald	bio1871m
mdp.39015056228649|Klaus	fic1975m
uc1.b3477713|CarolinaNeuber	bio1931f
9110|Mr.Hicks	fic1830m
14534|Garbett	fic1850u
uc1.$b751314|Caroline	bio1878f
uc1.$b71374|Lincoln	fic1943m
14621|Mr.Deafsiller	fic1825m
5809|Narbonne	fic1870m
pst.000045392085|Mrs.Lacy	fic1941f
mdp.39015002793241|Fricke	bio1982m
uva.x002267319|Mr.Gatton	bio1922m
uc1.32106008964261|Merleau-Ponty	bio1988m
mdp.39015001131740|Albert	fic1979m
nyp.33433082357116|MissSeward	bio1821f
uc1.$b757727|Mr.Fitzpatrick	bio1872m
mdp.39015014522687|Emerson	bio1970m
mdp.39015019607236|Julia	bio1991f
mdp.39015048903580|Peter	fic1988m
uc1.b4586444|Kavanagh	bio1948m
6952|Ellsworth	fic1864m
mdp.39015065202593|Mr.Dulles	bio1955m
uc1.$b85967|CanonGraham	fic1955m
mdp.39015000543176|Rashid	fic1977m
mdp.39015032276571|Mrs.Greenspoon	fic1980f
uc1.32106008754167|EdNewton	fic1943m
3258|Dick	fic1874m
nyp.33433074910633|Mr.Shelley	bio1835m
13691|Alexander	fic1824m
mdp.39015019815219|Harnick	bio1991m
uc1.$b188443|Jean-Baptiste	fic1949m
2440|Felix	fic1880f
uc2.ark+=13960=t14m92b07|Talcott	fic1901m
mdp.39015043514796|Mr.Madison	bio1894m
mdp.39015005687093|LaiChao	fic1939m
yale.39002053506953|Caldwell	bio1916m
nyp.33433082495494|Maria	bio1888u
uc2.ark+=13960=t1cj89c6k|Hollis	bio1831m
mdp.39015056690368|Gleeson	bio1966m
mdp.39015073820824|MrJackson	fic1979m
mdp.39015055109451|Borga	fic1975u
mdp.39015003684043|Lauretta	fic1920f
mdp.39015038021807|Rosen	fic1996m
uc1.32106006434416|Mr.Wolfe	fic1946m
uc1.$b87230|Ceinwen	fic1958f
uc1.b3886035|Longstreet	bio1955m
14528|Erebus	fic1881u
mdp.39015005394278|JohnTillotson	bio1969m
mdp.39015059475320|Baker	bio1939m
njp.32101064790288|Robert	bio1826m
uc1.b3855500|Leonidas	bio1910m
uc1.b4499257|Marc'Antonio	bio1865m
11034|Margaret	fic1855f
loc.ark+=13960=t6252889s|MatthewArnold	bio1911m
mdp.39015013309599|Crittenden	bio1959m
2071|lordPeterborow	fic1801m
mdp.39015056265625|MarkStevenson	fic2000m
yale.39002061263001|Anson	bio1868m
mdp.39015064680286|Rita	fic2006f
inu.30000068229644|Komatsu	fic2000u
mdp.39015030723517|HumphryDavy	bio1925m
loc.ark+=13960=t02z1h629|Mr.Reese	bio1895m
mdp.39015048982899|Mother	fic1980f
inu.30000039229756|Mphingo	fic1991u
njp.32101074876176|Johnson	bio1903m
nyp.33433082533302|James	bio1801m
mdp.39015063617925|Montague	bio1833m
uva.x000386287|Pompey	bio1899u
uc1.b3529426|Hal	bio1973m
mdp.39015029096545|Martin	bio1994m
mdp.39015030379005|MadameKroupie	fic1916u
13492|LordMontague	fic1824m
uc1.b4578702|Keble	bio1874m
9888|D.D.Spludge	fic1876m
loc.ark+=13960=t19k4gv64|Mr.Joslin	bio1888m
uc1.b4519528|AlfredE.Smith	bio1938m
nyp.33433008490892|Anne	bio1809f
uc1.b3325729|Mr.Olstein	fic1902m
7298|Mr.Montagu	fic1834m
mdp.39015063931052|Garcia	fic1951m
mdp.39015004168103|EtaoinShrdlu	fic1954u
3415|Arthur	fic1838m
mdp.39015031708145|Benjamin	bio1995m
14506|LadyHarriet	fic1858f
uc1.b69410|Mr.Munroe	bio1837m
njp.32101068584786|Shakspeare	bio1801u
mdp.39015051150111|Mr.M.G.Lewis	bio1905m
15044|MissDynevor	fic1887f
mdp.39015032918578|Robert	fic1994m
nyp.33433081857231|DrJenner	bio1837m
hvd.hxg14r|deLyon	bio1796m
9214|Brown	fic1875m
uc2.ark+=13960=t6pz52k33|Fred	fic1920m
mdp.39015030745668|Margaret	fic1933f
loc.ark+=13960=t9q246b0z|Jehovah	bio1839u
1750|Snelling	fic1899m
uc1.b4463189|Alfie	fic1975m
mdp.39015066418123|Hankey	bio1966m
1984|Mr.Telford	fic1845m
1698|Mrs.Ware	fic1846f
7545|Mulcahy	fic1843m
mdp.39015046342682|Erdman	bio1981m
inu.30000104170752|Theodore	fic1966m
3955|Norah	fic1887f
mdp.39015007570321|Cummings	bio1957m
uc1.$b104500|Berger	fic1960m
yale.39002013665402|LordCoUingwood	bio1823m
mdp.39015002695487|Dryden	bio1898m
pst.000058525098|Anstice	fic1942u
uc1.$b808866|Ed	fic1969m
nyp.33433065983847|Dr.Mudge	bio1817m
nyp.33433074910369|Breton	bio1921m
osu.32435065645525|Tinkham	fic1960m
uc1.b2985142|Luttrell	bio1885m
mdp.39015031904447|Bob	bio1973m
mdp.49015002554187|DaneGrover	fic1976m
13247|GuyScardale	fic1860m
nyp.33433082537378|Mr.Pitt	bio1791m
13706|Mr.Pallet	fic1796m
8882|Turk	fic1844m
mdp.39015008102306|Ben	bio1947m
mdp.39015017888739|Fitz	bio1990m
mdp.39015082003636|Boyer	bio1969m
15091|Mr.Lapstone	fic1830m
nyp.33433069266793|Adam	bio1810m
uva.x030576870|Coleridge	bio1851f
wu.89097319206|HuntlyLodge	bio1872u
nnc1.cu58402004|Cary	bio1860m
mdp.39015053381953|Phil	fic2001m
uc1.$b299805|Falkenberg	fic1936u
uc2.ark+=13960=t3st7f496|Mrs.Whitman	fic1922f
13271|Mr.Sunley	fic1878m
njp.32101073859942|MadamedeMaintenon	bio1857m
1469|MrWaverley	fic1819m
mdp.39015033964571|MrsHumphryWard	bio1995f
mdp.39015063817434|lordLincoln	bio1805m
mdp.39015010224346|Mamie	fic1962f
mdp.39015040622485|Mr.Cox	bio1997m
10902|Annie	fic1853f
inu.30000035433246|PhilipMiles	bio1992m
mdp.39015012096924|Burnside	bio1894m
uiuo.ark+=13960=t9862k717|WilliamHaistings	bio1919m
uc1.b4071415|HenryBulwer	bio1913m
uc1.$b242922|Pinney	fic1924m
pst.000001270617|Sharon	fic1969m
nyp.33433082359534|Woolwich	bio1867u
9813|HarryMartin	fic1868m
2244|Antonia	fic1826f
mdp.39015054019511|Rafshoon	bio1977m
uva.x001423201|M.Moreau	bio1869m
9989|MissArabin	fic1832f
mdp.39015031238457|Mrs.Fandine	fic1942f
uc2.ark+=13960=t7br8r537|CatherinedeMedici	bio1800m
pst.000061255661|Tiffany	fic1976f
13289|MissDelancy	fic1841f
nyp.33433082542543|Jerome	bio1798m
mdp.39015011940163|Mother	fic1938f
5774|Bishop	fic1832m
mdp.39015005634178|Hallett	bio1979m
mdp.39015033668081|Eddie	fic1954m
hvd.hn5nuy|WilliamHerschel	bio1844m
uc1.b3113952|Ruth	fic1951f
nyp.33433082546189|Mr.Jefferson	bio1850m
3286|Ned	fic1863m
mdp.39015001153629|Poirot	fic1933m
uc2.ark+=13960=t0ns0nt5n|Mr.Lyttelton	bio1861m
10028|Mrs.Liggon	fic1890f
mdp.39015005533487|Milton	bio1838m
mdp.39015040694591|Roosevelt	bio1997m
uiuo.ark+=13960=t5cc1197k|Lee	bio1865m
mdp.39015024243837|Lumumba	bio1972m
wu.89099327637|H.E.	fic1936u
dul1.ark+=13960=t70v99x8f|Mr.Harris	bio1840m
mdp.39015051150111|Campbell	bio1905m
13161|EllenWoodville	fic1814f
4725|MissRoss	fic1824f
loc.ark+=13960=t2794sn9h|Dr.Patrick	bio1922m
uc1.b2802929|Stan	fic1963m
mdp.39076005097410|Lynch	bio1921m
mdp.39015005660330|Hathaway	fic1941m
wu.89099301053|Mrs.Holt	fic1951f
mdp.39015043259442|Juan	bio2000m
mdp.39015023710125|JeffersonMedicalCollege	bio1959m
mdp.39015003483719|Joubert	bio1864m
13180|John	fic1895m
mdp.39015011870618|Mrs.Rose	bio1860f
inu.30000035415862|Selena	fic1954f
wu.89060956299|Rogers	bio1811m
13648|Matilda	fic1814f
nyp.33433082337498|Mr.Lincoln	bio1918m
mdp.39015003454249|AirForce	bio1959m
hvd.rslysn|Octavia	bio1803f
uc1.b4259867|NationalOrganizationforPublicHealthNursing	bio1988u
mdp.39015007565305|Zachariasen	bio1973u
11322|LordHatterleigh*	fic1866m
4960|Leclerc	fic1810m
14928|Bessy	fic1883m
uc2.ark+=13960=t2c825w00|Whitehall	bio1910u
mdp.39015063517299|MissVonEaton	fic1914f
575|Ali	fic1801m
mdp.39015063281201|Maeve	fic2006u
mdp.39015030851565|DOP	bio1971u
uc1.$b640670|Ptolemy	bio1819m
mdp.39015073430582|Frederick	bio1949m
uc1.$b302048|Satterly	fic1925m
uc1.b3347154|Stewart	fic1946f
mdp.39015032095500|Henry	fic1994m
uc1.l0060470069|Mr.Conduitt	bio1855m
uc1.b3589018|MiguelCarlos	fic1954m
3152|Dick	fic1801m
3763|Sam	fic1882m
uc1.$b56730|Larry	fic1945m
uc1.32106015267997|George	fic1975m
mdp.39015007896668|MadameSchumann	bio1971m
10381|Bothwell	fic1831m
nyp.33433071375087|Charles	bio1824m
loc.ark+=13960=t89g5s654|Legislatures	bio1864u
11989|Edgar	fic1865m
hvd.hwkgms|Wurmser	bio1829u
7857|Mr.Pellew	fic1827m
uc1.32106014453457|NapoleonIII	fic1959m
uc2.ark+=13960=t0ht2j95j|Dr.Doddridge	bio1854u
mdp.39015005143022|Philips	bio1948m
njp.32101074439751|Philip	bio1812m
mdp.39015065863592|LloydGeorge	bio1966m
uc1.b3546688|Percy	bio1811m
mdp.35112101212035|Douglas	bio1863m
4155|MissOwenson	fic1876f
wu.89095723714|CiudadRodrigo	bio1810m
yale.39002084774968|LordGrenville	bio1868m
uc1.32106014870759|Owens	fic1997m
inu.32000002798249|Antony	bio1934m
9999|LadyJane	fic1810f
nyp.33433082543186|Claudius	bio1793m
4081|Webber	fic1896m
3240|LadyHarriet	fic1860f
mdp.39015011306811|Mr.Fitzsimons	bio1888m
113|MissCarlill	fic1792f
uc1.$b756694|LordMoira	bio1839m
nnc1.1002186616|MissSaxon	fic1902f
8813|Mr.Marsden	fic1853m
8520|Brutus	fic1856m
nyp.33433082371273|Macklin	bio1826u
1679|Ellen*	fic1874f
5854|Rowena	fic1823f
mdp.49015000259284|Castiglione	bio1920m
uc1.$b244938|Charles	fic1955m
uc1.31822031031172|Mr.Dibble	bio1913m
mdp.39015011242644|Louisa	fic1959f
uc1.b4195563|Cavour	bio1919u
njp.32101076208089|Mr.Gresham	bio1916m
uc1.$b785383|MrSargeson	fic1964m
mdp.39015067249840|Sadie	fic1954f
mdp.39015011899203|Kepler	fic1972m
nyp.33433082528666|Lawrence	bio1800m
8763|Mrs.Osmond	fic1882f
4250|Edgar	fic1876m
nyp.33433000045322|ThomasSeymour	bio1847m
mdp.39015018331424|Calhoun	bio1959m
6942|Vincent	fic1792m
uc1.b4351950|Ekaterina	fic1959f
7317|Lucius	fic1854m
mdp.39015011595108|MariaAngelica	fic1985f
nyp.33433082397872|lordMansfield	bio1805m
uc1.$b39622|Krivitsky	bio1944m
uc2.ark+=13960=t4zg6kg6w|Burke	bio1851m
288|Gabriel	fic1887m
uc1.b2986294|Goldsmith	bio1909m
mdp.39015011361055|Bill	bio1936m
mdp.39015026750276|Burton	bio1890m
mdp.39015066410559|Mary	bio1933f
uc1.$b544852|Mrs.Roosevelt	bio1938f
wu.89058638834|Williams	bio1958m
7916|Leontine	fic1823u
mdp.39015006998119|Ludlow	bio1851m
yale.39002054547253|Mr.Clarke	bio1816m
2597|Dr.Spini	fic1894m
4002|Ben	fic1899m
nnc2.ark+=13960=t9n29x58j|Mr.Hume	bio1814m
wu.89097207351|Paul	bio1922m
1507|Mrs.Flanagan	fic1840f
loc.ark+=13960=t2h70r11f|Mr.Sisler	bio1885m
mdp.39015011895540|Lucy	fic1951f
5289|Mrs.Carroll	fic1830f
mdp.39015008850250|Jenny	fic1970f
14571|Jack	fic1874m
mdp.39015066183685|Keats	bio1907m
uc2.ark+=13960=t4qj79z58|KingJames	bio1921m
inu.32000010022137|Chester	bio1873m
nyp.33433081608634|Socrates	bio1822m
pst.000006706319|GregoryDench	fic1927f
uc1.$b244984|MargaretMead	fic1952f
nnc1.cr00161926|JohnBurgoyne	bio1898m
mdp.39015002317801|Hermione	fic1972f
uc1.32106005936296|O'Brien	fic1964m
mdp.39015008890496|Mary	bio1910f
inu.39000000965561|Herman	fic1982m
12836|Salerno	fic1808m
7208|Phihp	fic1811u
nyp.33433082390794|LordCornwallis	bio1830m
mdp.39015070226777|Greeley	bio1914m
uc1.b4446967|Harriet	fic1983f
uva.x030557160|Dr.Duchesne	bio1903m
