yale.39002068150078|StaffordNorthcote	bio1915m
wu.89094686748|Russell	bio1831m
919|MissJane	fic1891f
uc2.ark+=13960=t0ns0nt5n|Dr.Cocchi	bio1861u
uc1.b3926796|John	bio1944m
uc1.32106011882740|Johannes	bio1994m
yale.39002030830583|ElizabethBayes	bio1860f
uc1.b5118697|Kahn	bio1989m
13113|Dr.Philpotts	fic1855u
loc.ark+=13960=t4fn19z04|Pierce	bio1897m
2984|MarcoPolo	fic1878m
mdp.39015004190263|North	bio1956m
mdp.39015005641025|Humber	fic1959m
nyp.33433076081185|Dr.Summers	fic1909m
4636|Barby	fic1870u
14650|Mr.Fairbank	fic1821m
nnc2.ark+=13960=t9183cv07|Parr	bio1859m
uc2.ark+=13960=t17m06w50|Mr.DICKINSON	bio1873m
uc1.$b299842|Cecile	fic1927f
361|Mrs.Douglas	fic1847f
nyp.33433008488318|Hector	bio1794m
mdp.39015005661015|Jesuiter	bio1981u
14970|DeHoffman	fic1801m
mdp.39015049224408|Pippa	fic1981u
mdp.39015034655806|SergeiSergeyevich	fic1946m
mdp.39015030477494|Mr.Allen	bio1811m
uva.x000148203|Mishich	bio1906m
mdp.39076002829930|Amery	bio1988m
loc.ark+=13960=t13n27f01|PatrickHenry	bio1886m
1690|Tobey	fic1890f
mdp.39015011037689|Helen	fic1946f
mdp.39015001542565|JesusChrist	bio1835m
wu.89097339816|Condillac	bio1851u
uc1.$b116532|Matt	fic1951m
11752|Patrick	fic1895m
mdp.39015027040321|Marshall	bio1972m
mdp.39015039923340|ToshiroTagawa	fic1998m
14488|Corrigan	fic1868m
13324|MrMerton	fic1844m
mdp.39015005394070|Antonius	bio1899u
uc1.b3465014|Fouche	bio1827m
mdp.39015053576917|Frank	fic1979m
uc1.b4421497|Patrick	fic1987m
13492|Celestina	fic1824m
uc2.ark+=13960=t7br8r24c|Emilie	bio1903f
inu.32000013321965|HoMin	fic1941m
uc1.b4316244|Brown	bio1929m
mdp.39015006760386|BryanFairfax	bio1948m
mdp.39015034937717|Janetha	fic1995u
mdp.39015051122508|Peter	bio1915m
nyp.33433071001618|Cozens	bio1829m
uc1.b4009428|St.Vincent	bio1838m
njp.32101060060140|Harper	bio1900m
nyp.33433082548946|Mr.Batt	bio1866m
loc.ark+=13960=t2h70gx85|Mr.Harris	bio1848m
mdp.39015030657145|Helen	bio1927f
uc1.$b111246|MissKnag	fic1957f
uc1.b4450307|EuniceDalton	fic1978u
mdp.39015048880895|Julek	fic1980u
mdp.39015030657046|Sheridan	bio1936m
yale.39002071114152|Hull	bio1862m
mdp.39015008624523|Mary	bio1955f
mdp.39015038923598|Leah	fic1940f
loc.ark+=13960=t53f56c97|Laurens	bio1824m
3596|Mr.Robins	fic1898m
mdp.39015029551622|Galen	bio1993f
mdp.39015066054217|Carrie	fic1927f
mdp.39015014136959|GeorgeMaclean	bio1951m
uva.x000609773|Boice	bio1857u
nyp.33433082452149|Mr.Belcher	bio1903m
yale.39002085615376|Patrick	bio1821m
wu.89094686292|Lawrence	bio1863m
nnc1.0035527056|Mr.Gibbon	bio1830m
nnc1.cu58402004|LadyM.W.Montague	bio1860f
mdp.39015015359188|Cavenagh	bio1971u
mdp.39015066408942|Harley	bio1852m
mdp.39015056246211|Wanda	fic1958f
mdp.39015027063901|FrederickLafayetteOwens	bio1923m
12467|Mr.Hasting	fic1841m
5156|Yankee	fic1865m
wu.89094731304|Joseph	bio1845m
nnc1.cu09653279|Zara	bio1823f
mdp.39015050242463|ViktorFrandsen	bio2000m
mdp.39015053118413|Anna	fic2001f
mdp.39015015199436|Bob	fic1935m
mdp.39015020578061|DorothyDeming	bio1988f
mdp.39015016752910|Drake	bio1954m
uc1.b3421009|Bonelli	bio1965m
wu.89097339865|BlackPrince	bio1876m
wu.89076977891|Bragg	bio1868m
uva.x000233861|S.FrancisdeSales	bio1873m
mdp.39015027435315|Ferguson	bio1978m
mdp.39015062281541|MotherButler	fic1936u
mdp.39015004761774|TalatSaitHalman	fic1982m
mdp.39015017905640|Kant	bio1990m
mdp.39015015193074|Kohlsaat	bio1959m
uc1.32106001534913|Ida	fic1956f
mdp.39015037432625|Shell	fic1996m
uc2.ark+=13960=t6tx3m74v|Cooper	bio1885m
osu.32435053954343|Andy	fic1941m
12351|Mr.Sweetapple	fic1877m
647|Squire	fic1887m
12572|Wilt	fic1847m
6535|Courfeyrac	fic1891u
mdp.39015061868363|MissMarple	fic1962f
nyp.33433082537501|Cameron	bio1855m
nyp.33433067388029|Bonaparte	bio1873m
mdp.39015008677711|Tommy	fic1937m
uc1.32106007547901|Mrs.Gere	bio1987f
hvd.hngab5|Durkee	bio1834m
mdp.39015017018709|Maxwell	bio1990m
pst.000006706319|LukeBenjamin	fic1927m
mdp.39015003930099|CarolineOsborne	fic1911u
11372|O'Donnell	fic1831m
13|Mrs.Lloyd	fic1868f
inu.39000001478705|HanTao	fic1976u
wu.89099962060|Mr.McKenna	bio1936m
8808|Lucy	fic1864f
mdp.39015078189647|Bronzino	bio1920u
14724|Horn	fic1826m
mdp.39015033583215|Stella	fic1953f
nc01.ark+=13960=t7mp5dr4v|Congress	bio1916m
mdp.39015030443553|Congress	bio1971u
uc1.$b803946|Mary	fic1970f
mdp.39015029473280|Brock	bio1993m
uc2.ark+=13960=fk3xs5jn69|Jeff	bio1866m
uc1.$b802556|Otten	fic1912m
mdp.39015041026488|Roy	fic1997m
yale.39002001923136|Gray	bio1888m
hvd.32044090282682|Malone	bio1831m
mdp.39015063551512|Robin	fic1925m
uc1.$b753615|Campbell	bio1881m
mdp.39015061026046|Davidowich	bio1827u
uc1.$b245130|Mrs.Timberlake	fic1932f
mdp.39015000587959|Norcot	bio1854m
13942|Hargrave	fic1825m
uc1.b3727788|Dena	fic1938f
uc2.ark+=13960=t07w68f86|Mabel	fic1915f
mdp.39015040691738|Nina	fic1991f
mdp.39015002381260|JohnGreen	bio1949m
13901|LordSquandermoor	fic1832m
wu.89094712775|Christ	bio1935m
13711|Mrs.Rivington	fic1830f
njp.32101074758721|DrBentley	bio1810m
mdp.39015005931954|Robertson	bio1959m
14433|MissGubbins	fic1856f
uc2.ark+=13960=t6sx6c40h|Holland	bio1914m
uc2.ark+=13960=t52f7nk0d|Middleton	bio1827m
471|John	fic1836m
wu.89076977321|Odin	bio1870m
wu.89032207334|Durell	bio1948u
yale.39002053506953|Duncan	bio1916m
uc1.$b119949|Marge	fic1967f
uc1.$b244812|Mrs.Sawyer	fic1951f
hvd.32044024419145|Blair	bio1830m
uc1.32106001693115|Louise	fic1961f
13497|MissHeywood	fic1839f
uc1.$b784428|Bancroft	bio1952m
11789|Goton	fic1857u
mdp.39015063164548|MassachusettsHistoricalSociety	bio1859u
mdp.39015050619942|A&M	bio1983u
14434|Francis	fic1826m
9459|Rickham	fic1831m
11586|RudolphVernon	fic1886m
wu.89079737532|JohnBurgoyne	bio1807m
14455|Ehrenstein	fic1847m
wu.89099962060|Scapa	bio1936u
uc1.31158011407409|deMaintenon	bio1904m
wu.89054771837|Garibaldi	bio1944m
nyp.33433047991785|Vasari	bio1823u
mdp.39015046354745|Joan	bio1972f
mdp.39015026086614|Keble	bio1948m
13997|Fuller	fic1832m
mdp.39015016736830|Vicky	fic1960f
miun.acs5741,0001,001|DrBurney	bio1907m
nyp.33433076067192|Lassiter	fic1912m
7525|Susan	fic1846f
mdp.39015005912723|Shah	bio1984m
mdp.39015012797646|Chopin	bio1988m
mdp.39015031496923|Bartel	bio1879m
mdp.39015043096083|Mrs.Randolph	bio1999f
4361|Matvei	fic1849u
mdp.39015005147866|Jenkins	fic1944m
13798|MissHavisham	fic1861f
uc1.b4146357|GrannyDanster	fic1992f
loc.ark+=13960=t4sj1vb55|Mr.Gallatin	bio1866m
mdp.39015026750276|Paul	bio1890m
3178|JockeyDaws	fic1848m
nyp.33433081822979|Brewer	bio1871m
uc2.ark+=13960=t8x929099|Stanley	bio1914m
mdp.39015023718227|Drewry	bio1959m
wu.89058638891|JohnDoland	bio1958m
mdp.39015009196968|Mohammed	bio1982m
13240|Byron	fic1835m
mdp.39015040705579|Davidson	bio1997m
uc2.ark+=13960=t3416vv6x|Mary	bio1798f
mdp.39015049224408|Alissa	fic1981f
inu.39000004263237|Jacko	fic1979m
uc1.$b312594|Toribio	fic1941u
nc01.ark+=13960=t9v134v87|Merlin	bio1907m
mdp.39015002375593|Dignum	fic1933m
12996|MissHarris	fic1832f
uc1.b4349375|St.Omer	bio1942m
nyp.33433074815030|KipruliAli	fic1916m
loc.ark+=13960=t8jd5hj87|Walker	bio1876m
10931|Amar	fic1850m
uc1.b3575824|Mrs.Dorr	bio1896f
uc1.$b468834|Jenkins	bio1857m
mdp.39015030662293|James*	bio1973m
yale.39002004528403|Arthur	bio1881m
mdp.39015005865541|Allie	fic1926f
mdp.39015042961279|Frau	fic1970m
14167|Mrs.Layton	fic1817f
mdp.39015002085697|Glauber	bio1982m
mdp.39015071429156|B.S.Manson	bio1889m
mdp.39015063622164|PhilipSidney	bio1806m
11068|Edgely	fic1871u
mdp.39015022038882|MissSmallwood	fic1991f
mdp.39015063972031|Congress	bio1868u
uc2.ark+=13960=t0wp9wf74|Trepoff	bio1909u
njp.32101075689198|DrLyons	bio1827m
uc1.b3126572|JohnsHopkins	bio1944m
nyp.33433075727127|Clink	fic1917m
mdp.39015004252980|Mrs.Wharton	bio1967f
nyp.33433082541982|Warren	bio1825m
mdp.39015063622164|Chrift	bio1806u
14777|Avenil*	fic1873m
wu.89058638925|MadisonCo.	bio1958f
mdp.39015063817541|Scott	bio1941m
nyp.33433082380100|Mrs.Tomer	bio1866f
mdp.39015019367096|MissDavenport	bio1920f
1984|Garrow	fic1845m
mdp.39015017684773|Susan	fic1988f
11837|Mr.Templer	fic1865m
10169|Nina	fic1888f
8890|Dr.Cullen	fic1859m
umn.31951002047004u|Jesus	fic1948m
hvd.hwanmh|VIII	bio1832m
6418|Johnny	fic1890m
14511|Mrs.Longiey	fic1876f
nyp.33433080468576|Mrs.Vertz	bio1851f
nyp.33433082214051|LordBalmerino	bio1845m
mdp.39015008908702|Keymis	bio1947m
mdp.39015024046388|WhiteHouse	bio1959m
uc1.$b287626|Cissie	fic1939u
mdp.39015008653654|MissMitford	bio1962f
mdp.39015011814210|Parnell	bio1964m
uc1.$b295995|Hardy	bio1931m
2399|Mr.Dodd	fic1873m
mdp.39015012162395|BarneyNagler	bio1986m
uc1.b3455011|Jake	fic1969m
mdp.39015071163664|Joseph	bio1887m
981|Rick	fic1811m
mdp.39015010540923|Isvolsky	bio1964m
loc.ark+=13960=t2r49xv48|Monette	bio1887m
mdp.39015004742329|GeorgeKenney	bio1949m
14113|Mr.Beaumont	fic1825m
uc2.ark+=13960=t8tb11h7s|lordChesterfield	bio1854m
7037|Mr.Davis	fic1857m
uc2.ark+=13960=t2b859c36|Charles	bio1916m
nyp.33433081906889|Leggett	bio1879m
wu.89064875040|Kitty	fic1940f
11515|EdwardM'Caffrey	fic1896m
3083|Herbroug	fic1810f
umn.31951002058391m|Alice	fic1928f
1473|Lovel	fic1819m
wu.89094686532|SieurdeLagny	bio1806u
14796|Montoni*	fic1795u
uc1.b3290544|Charles	bio1813m
4635|Hugh	fic1848m
yale.39002032084627|Charles	bio1823m
nyp.33433081921151|Lucas	bio1878m
mdp.49015002998871|Joseph	fic1991m
pst.000005899432|Bonaparte	bio1972m
9439|LadyRosendale	fic1840f
12049|Johnstone	fic1870m
nyp.33433082537204|Leland	bio1850m
6558|Ivan	fic1890m
14663|M.Scarpin	fic1871u
hvd.rsle69|Dr.Lopez	bio1819m
mdp.39015043514796|Mr.C.	bio1894m
nyp.33433000153001|CharlesYorke	bio1802m
mdp.39015011569244|Plunkett	bio1926m
mdp.39015013960326|Pichegru	bio1835u
nyp.33433082528666|OliverCromwell	bio1800m
mdp.39015061768860|Gostahm	fic1998u
6016|Henry	fic1818m
nyp.33433082444773|VanDiemenGulf	bio1865m
13164|Betty	fic1836f
inu.32000002838508|Tony	fic1927m
mdp.39015041172415|Cato	bio1841m
uc1.31822035083740|Mr.Farquhar	bio1907m
uc1.32106014290040|Sally	fic1994f
nyp.33433082549811|Tom	bio1915m
mdp.39015049634820|Natter	fic1968u
uc1.b3168687|Sandipani	fic1978u
loc.ark+=13960=t4zg6t87k|Bishop	bio1835m
mdp.39015058813117|Carmen	fic2003f
394|William	fic1858m
mdp.39015070251486|E.P.Lovejoy	bio1884u
uc1.b3711161|Jennie	fic1945f
uc1.b3862854|Courane	fic1981m
mdp.39015030971272|Mr.Nichols	bio1921m
2240|MissBetty	fic1899f
mdp.39015006956265|Mr.Maine	bio1892m
mdp.39015063281201|Mrs.Gault	fic2006f
nc01.ark+=13960=t7zk5jh7w|Mrs.Jenkins	bio1893f
njp.32101072880352|MissBradley	bio1888f
wu.89092627132|ZebulonGardner	bio1889m
9591|Lily	fic1878f
3760|Worthington	fic1882m
mdp.39015030728029|Irma	fic1937f
nyp.33433082414453|Dr.Craik	bio1865u
wu.89008296626|Stalin	fic1983m
njp.32101061422034|Francis	bio1884m
loc.ark+=13960=t8x92rd4n|Mr.Thornton	bio1867m
mdp.39015002758228|Arye	fic1960u
mdp.39015027326423|Mr.Salmon	bio1867m
mdp.39015051161142|Dorothy	bio1980f
10626|Mabel	fic1872f
uc1.b3326408|John	fic1906m
pst.000062850292|Dora	fic1943f
uc1.$b86057|Mr.VincentPeel	fic1957m
mdp.39015005300556|Abbott	fic1968m
hvd.hn4lvh|M.deGuise	bio1845m
uc1.b5065143|nally	fic2006m
mdp.39015023718227|TimothyWoodbridge	bio1959m
12073|Ellen	fic1844f
mdp.39015040696877|Melvin	bio1997m
uc2.ark+=13960=t2h709x64|Warburton	bio1838m
mdp.39015049540431|AndrewYoung	bio2000m
mdp.39015012797646|Mr.Young	bio1988m
14264|LordClif	fic1804m
7414|Liretta	fic1804u
mdp.39015030643590|Mr.Gandhi	bio1948m
mdp.39015009333751|Joe	fic1981m
nyp.33433074918537|Dr.Aldrich	bio1813m
njp.32101078162680|Jesus	bio1874m
uc1.32106016861111|Jamesie	fic2002u
mdp.39015038592328|NewYorkTimesMagazine	bio1997m
mdp.39015050593568|Holsten	bio1876u
uc1.$b111052|MissMillay	bio1940f
mdp.39015039453868|Mr.Ford	bio1842m
6155|Lizzie	fic1866f
osu.32435079288916|Tano	fic1935u
1898|Mr.Groves	fic1851m
321|Mrs.Morris	fic1848f
mdp.39015015233490|Christopher	fic1989m
uc2.ark+=13960=t10p0wz08|Tarzan	fic1920m
uc1.b3821329|MrsMacarthur	bio1969f
uc1.b3261307|Madison	bio1859m
wu.89092549310|Tom*	fic1922m
mdp.39015013298073|LaFarge	bio1963m
11045|CalebTreherne	fic1866m
mdp.39015054419752|Siobhan	fic1996f
nyp.33433082421169|Downam	bio1874m
nyp.33433061843599|Joanna	bio1836f
7500|Terence	fic1862m
mdp.39015011672030|Mrs.Sherman	bio1905f
uva.x030557160|Leyton	bio1903f
4030|Edward	fic1852m
3162|Anne	fic1860f
nyp.33433082420344|Mr.Johnson	bio1829m
11574|Bertha	fic1857f
wu.89095807715|vonKyling	fic1948m
7710|Sebastian	fic1858m
mdp.39015067076748|Antoinette	bio1812f
nyp.33433088119023|JohnPhilpot	bio1851m
uc2.ark+=13960=t5z60jf0c|RoseHill	bio1920m
mdp.39015002375593|Regan	fic1933m
mdp.39015014859931|Martha	fic1964f
mdp.39015086848747|Lestrade	fic1900m
mdp.39015022624954|HermanStark	fic1907m
13054|Mrs.Foster	fic1872f
9772|Barbel	fic1899u
loc.ark+=13960=t9c53t751|Silas	bio1877m
loc.ark+=13960=t09w0r160|Kimball	bio1909m
8520|Mrs.Walker	fic1856f
uc1.$b111253|AbrahamLincoln	fic1944m
mdp.39015031924221|LordCharles	bio1949m
uc2.ark+=13960=t6h12zk5t|Dante	bio1916m
njp.32101079826754|Theodoret	bio1877u
10059|Fritz	fic1807m
uc1.b4349549|Duportail	bio1943u
uc1.$b803946|MrsBracknell	fic1970f
11034|Mr.Thornton	fic1855m
wu.89099963266|JesusCollege	bio1913m
umn.31951002302781c|Claudine	bio1959f
481|Hope	fic1899f
mdp.39015067076599|PhilipV.	bio1828m
5819|Huck	fic1876m
10435|Wilson	fic1830m
nyp.33433082362181|Bowers	bio1885m
mdp.39015005567709|Madge	fic1954f
loc.ark+=13960=t6930xv71|Taylor	bio1847m
uc1.b4380054|Sullivan	bio1946m
10117|Mr.Rochester	fic1850m
6764|MrDidapper	fic1788m
2172|JohnSten	fic1867m
13113|Graball	fic1855m
yale.39002001923136|Harper	bio1888m
nnc1.1000026522|BrerWiley	fic1921m
9060|Luisa	fic1810f
10458|Mrs.Gripper	fic1884f
mdp.39015020405232|RobertDelaunay	bio1983m
nyp.33433082540257|lordCobham	bio1810m
inu.30000126308216|Udenwa	fic2007m
wu.89058489444|SixthCorps	bio1868m
wu.89039048301|KingsleyWood	bio1962m
inu.30000109969711|UlrikeSchmidt	fic2006u
uc1.b5038198|Mr.Parnell	bio1936m
wu.89067525543|Tippin	bio1875m
mdp.39015012404888|HenryClay	bio1955m
14609|LordClancaftle	fic1799m
mdp.39015069315607|Siham	fic2007f
uc1.$b318411|Linieres	fic1928u
nyp.33433067301873|Mr.Godard	bio1906m
nyp.33433081608287|Alcetas	bio1841u
uva.x000275470|SamuelAdams	bio1834m
6366|Tom	fic1825m
mdp.39015051278334|MaryAgnew	fic2001u
14388|Abel	fic1889m
uc1.b3461329|Otto	fic1959m
4926|Mr.Seemington	fic1828m
uc2.ark+=13960=t08w3813k|Richard	bio1913m
mdp.39015011907378|Prince	bio1899m
13675|Gilbert	fic1863m
hvd.hwkff5|Tonson	bio1825m
mdp.39015026903099|HenryB.-RSB-Bascom	bio1959m
mdp.39015035319063|Marquina	bio1955m
uc1.32106005140550|Alexander	fic1981m
uc1.$b753707|Charles	bio1902m
9028|Agatha	fic1847f
uc1.$b752881|Bryce	bio1927m
uc1.b3294958|GuyJohnson	bio1857m
uc1.b3221664|MariaTheresa	fic1949f
mdp.39015018875974|Hereward	bio1991u
471|Edward	fic1836m
10530|Haghert	fic1828u
njp.32101068596921|Fanny	bio1851f
njp.32101067620961|God	bio1901m
nnc1.0043506666|Mr.Jefferson	bio1804m
uc1.$b55159|Ysentrud	fic1932u
nyp.33433074853247|Helen	fic1907f
mdp.39015005482446|LordCornwallis	bio1831m
mdp.39015066063986|GeorgeArnold	fic1919m
uc1.$b24027|Hazel	fic1941f
loc.ark+=13960=t3611jd82|Larkin	bio1878m
3987|Mrs.Sanford	fic1830f
loc.ark+=13960=t5k93gj4k|Mr.Simer	bio1909m
8838|Charles	fic1839m
uc1.b3935160|Suvrata	fic1962m
13350|Jerome	fic1829m
mdp.39015030847498|Grimble	fic1938u
hvd.hxj8uk|Marquis	bio1823m
mdp.39015003344630|Bishop	fic1955m
uc1.b3546688|Southey	bio1811m
uc1.$b812326|Clarence	fic1955m
nyp.33433076097371|Mr.Baxter	bio1817m
mdp.39015066650386|Roca	fic1956m
inu.30000037500000|Jason	fic1992m
uc1.b4373648|Moran	bio1955m
mdp.39015043096083|Greer	bio1999m
uc1.$b755651|lordBroghill	bio1840m
hvd.hwanmh|BoothbyPannell	bio1832m
9500|HenryDenvil	fic1884m
wu.89062013255|Henry	bio1912m
inu.30000044502254|Kapp	bio1994m
1790|EstherSomers	fic1856f
13413|Crofton	fic1872f
yale.39002064229496|Mr.Mitchel	bio1893m
7931|Charlotte	fic1857f
uc1.$b802590|Margaret	fic1922f
mdp.39015013902245|Mr.Stay	fic1972m
2471|LadyDelaval	fic1821f
njp.32101074439769|LordClarendon	bio1812m
mdp.39015013161495|Botchkareva	fic1919f
nyp.33433084130024|Senate	fic1907u
nyp.33433082368576|Hurstmonceaux	bio1872u
nnc1.50184041|Fletcher	bio1842m
mdp.39015066382535|Wright	bio1987m
mdp.39015003625863|Helen	fic1954f
10362|Carter	fic1873m
uc1.32106011414049|Lassiter	fic1978m
mdp.39015054285773|Kung	fic2002f
nyp.33433074346119|Thomas	bio1906m
uc1.32106013101248|Alhaji	fic1995u
13921|HoraceWalpole	fic1884m
nyp.33433082381934|Wilberforce	bio1841m
uc1.$b102594|Piper	fic1947m
mdp.39015042906225|JulietL.Javellana	bio1999u
uc1.$b103186|Cleopatra	fic1952f
mdp.39015024568555|Henry	bio1847m
6952|Emily	fic1864f
13743|MissHarriet	fic1829f
2629|RichardSydenham	fic1833m
10863|Gordon	fic1895m
mdp.39015031816807|SarahHubb	fic1994f
15046|Julie	fic1818f
mdp.39015070482701|Pope	bio1781m
mdp.39015009131031|Magda	fic1980f
uc1.b3435544|Gadgil	fic1969u
mdp.39015065519384|Sahib	fic1982m
mdp.39015059119787|Ralph	fic2004m
wu.89098987142|Annas	fic1944f
loc.ark+=13960=t2r49sd6r|Atkins	bio1879m
pst.000059700951|ReynoldsStanley	fic1982m
uc2.ark+=13960=t9r20sf04|Caesar	bio1856m
pst.000001667257|Tom	fic1938m
mdp.39015048543246|JosephMedicineCrow	bio2000m
mdp.39015012797646|CaradoriAllan	bio1988m
njp.32101066227974|CatholicMajesty	bio1800m
uc2.ark+=13960=t2z31qk2q|Martin	fic1920m
loc.ark+=13960=t5p84w38m|William	bio1879m
nyp.33433082420385|Mr.Brodie	bio1865m
14537|Mr.Sheriff	fic1825m
mdp.39015007998209|HaroldArlen	bio1984m
mdp.39015005471993|Dudley	bio1922m
nyp.33433082541479|BishopCarrol	bio1872m
mdp.39015012158716|Leopold	bio1963m
loc.ark+=13960=t19k4gv64|Mr.Look	bio1888m
12659|Mr.Blunt	fic1842m
mdp.39015002717620|Post	bio1980u
mdp.39015021327435|William	bio1927m
11712|Xavier	fic1854m
15092|Pope	fic1810m
nyp.33433082398425|Junius	bio1813u
mdp.39015050115487|Geraldine	fic2000f
loc.ark+=13960=t5fb5gm2c|republican	bio1839m
inu.30000102053281|George	fic2005m
mdp.39015012078575|Emil	bio1986m
13041|MissRhoda	fic1866f
14258|Thomas	fic1834m
uc2.ark+=13960=t0gt5fp14|Mr.Clinton	bio1857m
mdp.39015063055001|SixtusIV	bio1954m
6558|Marina	fic1890f
14935|LordRivers	fic1784m
nyp.33433081823928|JacobLandis	bio1877m
14388|NellieMitchell	fic1889m
uc1.b3287090|McGillivray	bio1954m
uva.x001099992|Pyrrhus	bio1871u
mdp.39015033389027|Colin	bio1871m
10145|Norah	fic1830f
nyp.33433061843078|PhebeA.Hanaford	bio1889u
mdp.39015040116009|Caroline	bio1958f
uc2.ark+=13960=t6xw49t18|MissEunice	fic1902f
mdp.39015054289270|MrGrove	fic1938m
nyp.33433076078884|Dryden	fic1911m
mdp.39015032897038|RolandCaine	fic1994m
mdp.39015029499608|Jerry	fic1974m
7309|Eoger	fic1874u
uc1.$b750476|Cromwell	bio1816m
mdp.39015008913819|CyrilHinshelwood	bio1961m
uc2.ark+=13960=t9j391h38|Dr.Wilkins	bio1863m
uc1.31158011407409|deLaValliére	bio1904m
uc1.b3886368|Barbour	bio1968f
pst.000022553164|HannahMartin	fic1993f
mdp.39015028707472|Mr.Porter	fic1980m
10618|Jean	fic1887u
9035|Mrs.Featherstone	fic1859f
uc1.b2806247|Davie	fic1964m
429|Earl	fic1815m
mdp.39015019850521|Dailey	fic1986m
mdp.39015063780095|NapoleonIII	bio1928m
uc1.b156087|Liston	bio1866m
9195|Oswald	fic1827m
6728|Helen	fic1876f
2247|Churton	fic1899u
nyp.33433082414859|Lamb	bio1849m
mdp.39015002793241|Klindworth	bio1982m
uc1.b4975810|Medea	fic1979f
6299|Alda	fic1883m
3122|Lisette	fic1836f
10410|Priscilla	fic1867f
5244|Hannah	fic1875f
1117|Diana	fic1881f
nyp.33433076089196|Moira	fic1909f
mdp.39015003625863|Margaret	fic1954f
mdp.49015002554187|MissSmith	fic1976f
14758|CornetThompson	fic1829m
mdp.39015032911193|Eleanor	bio1994f
477|Mrs.Mainwarmg	fic1858f
uc1.$b468832|Burke	bio1857m
13142|Marroquin	fic1888m
nyp.33433074870639|Mrs.Squibbs	fic1903f
uc1.b3803586|Evita	fic1990f
nyp.33433075861884|George	fic1912m
mdp.39015009626022|BuffaloMorningExpress	bio1979u
mdp.39015018062185|Gerlaugh	bio1984m
uc1.b3221664|Peter	fic1949m
mdp.39015026884190|Durham	fic1906m
mdp.39015023710125|CarolusDuran	bio1959m
mdp.39015041541189|WhiteHouse	fic1997m
uc2.ark+=13960=t6251jz0b|Cenni	fic1912u
mdp.39015070236479|Perry	bio1909m
71|LadyDuffgordon	fic1886f
mdp.39015033869291|Richard	bio1853m
mdp.39015065146022|Ion	fic1957m
uc2.ark+=13960=t6m044s7w|Sidney	bio1908m
1222|Mother	fic1887f
uc2.ark+=13960=t8sb44q3m|Selden	bio1812u
uc2.ark+=13960=t3319w37s|XavierBernard	fic1910m
loc.ark+=13960=t2h70gx85|Mr.Grain	bio1848m
mdp.39015040668181|John	bio1997m
uc1.$b751011|Baldwin	bio1953m
hvd.hwad7r|MacQuarrie	bio1834m
uc2.ark+=13960=t4mk67555|Caesar	bio1883m
mdp.39015017020846|Womack	bio1990m
11197|Nelson	fic1857m
14535|Mr.Ball	fic1830m
mdp.39015002703778|Minda	fic1937u
uc1.$b756930|Buchanan	bio1890m
mdp.39015030754066|TomHervey	bio1889m
mdp.39015060658997|Patricia	fic2005f
nyp.33433070795954|Dr.Gale	bio1848m
mdp.39015015682852|MatthewArnold	bio1899m
mdp.39015074228605|Picabia	fic2007m
4340|BarondeSteinbach	fic1831m
uc1.$b87371|Campbell	fic1949m
4582|Matthew	fic1855m
mdp.39015066411037|Yazid	bio1973m
uc1.b3614053|HenryJames	bio1926m
yale.39002088660221|&c.&c.	bio1812u
10875|Busteed	fic1854u
pst.000010904794|Piotra	fic1940u
mdp.39015018053242|Geraldine	fic1953f
uc1.b3884455|Walker	fic1979m
mdp.39015006598422|MrsGuy	fic1981f
mdp.39015063931656|MaisterPeden	fic1927m
mdp.39015002345349|SixthWang	fic1947m
nc01.ark+=13960=t6j10rb3s|Anicetus	bio1853u
mdp.39015049812830|Nairn	bio1859m
inu.30000037500000|Lorri	fic1992f
mdp.39015011549410|Edith	bio1935f
mdp.39015040061171|Bernadette	fic1997f
nyp.33433075893184|CharlesII	bio1903m
mdp.39015030856929|Koshare	fic1918u
14595|Mrs.MajorWhite	fic1869f
12733|Cala	fic1881m
11698|lordStivers	fic1812m
mdp.39015073820824|MrsHill	fic1979f
mdp.39015030511821|Mr.Ohandulal	bio1928m
mdp.39015002718446|Bancroft	fic1940m
nyp.33433076043334|Livingstone	fic1916m
4542|Louis	fic1854m
hvd.32044038367124|Cranmer	bio1838m
uc1.$b242925|Ellery	fic1953m
uc1.b4973452|Dorothy	fic1986f
nyp.33433074881255|Rob	fic1905m
mdp.39015038927201|Gandalf	fic1966m
1416|Socrates	fic1842m
mdp.39015063928652|Mr.West	bio1842m
10107|Polly	fic1847f
mdp.39015027330185|Pepys	bio1924m
uc2.ark+=13960=t9j391h38|Gothe	bio1863m
wu.89094739786|Solis	bio1856m
uva.x000391683|CharlesII	bio1886m
13161|Horatio	fic1814m
uc2.ark+=13960=t19k4768p|Mendelssohn	fic1911u
coo.31924087994863|DeWitt	bio1907m
mdp.39015047606440|Serena	fic1955f
uc1.32106007095521|Hal	fic1925m
mdp.39015014138484|Mr.Hector	bio1821m
uc1.b113029|EdmonS.Conner	bio1892m
mdp.39015053370469|Burnside	bio1959m
mdp.39015009904007|GnathologicalSociety	fic1969u
mdp.39015015446183|Eddy	bio1990m
3763|Shakespeare	fic1882m
14379|Mrs.Dorothy	fic1805f
6272|Dermot	fic1828m
uc1.b3186291|LuChun	fic1939u
12195|DonAlonso	fic1798m
2713|Sally	fic1853f
8003|Susanna	fic1871f
